parameter_type,parameter,change_percent,max_income
probability,stage_1,-10,2021.6879999999999
probability,stage_1,-5,2021.6879999999999
probability,stage_1_base,0.0,2021.6879999999999
probability,stage_1,5,2021.6879999999999
probability,stage_1,10,2021.6879999999999
probability,stage_2,-10,2021.6879999999999
probability,stage_2,-5,2021.6879999999999
probability,stage_2_base,0.0,2021.6879999999999
probability,stage_2,5,2021.6879999999999
probability,stage_2,10,2021.6879999999999
probability,stage_3,-10,2021.6879999999999
probability,stage_3,-5,2021.6879999999999
probability,stage_3_base,0.0,2021.6879999999999
probability,stage_3,5,2021.6879999999999
probability,stage_3,10,2021.6879999999999
commission,cb1,-10,2021.988
commission,cb1,-5,2021.8380000000002
commission,cb1_base,0.0,2021.6879999999999
commission,cb1,5,2021.5380000000002
commission,cb1,10,2021.388
commission,cb2,-10,2021.6879999999999
commission,cb2,-5,2021.6879999999999
commission,cb2_base,0.0,2021.6879999999999
commission,cb2,5,2021.6879999999999
commission,cb2,10,2021.6879999999999
commission,dep,-10,2022.688
commission,dep,-5,2022.188
commission,dep_base,0.0,2021.6879999999999
commission,dep,5,2021.488
commission,dep,10,2021.488
